TranslationRange	FocalLength	QR_Kcost	maxQR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	QR_RRtcost	IAC_Kcost	maxIAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost	IAC_RRtcost	Rank3Rate
3235.94	24	0.0185495	0.0571763	0.00839266	0.0141294	3.34346e-05	2.55685e-16	0.0180866	0.0481609	0.00908318	0.0133718	1.57831e-05	0.000441542	0.9604
3235.94	26	0.0220919	0.0810439	0.0164765	0.0123541	3.75606e-05	2.73011e-16	0.0230394	0.0836506	0.0163766	0.0148089	1.99273e-05	0.000576542	0.9604
3507.52	22	0.024996	0.263511	0.00902107	0.0192913	0.000642364	2.93538e-16	0.0272552	0.295644	0.0131279	0.0207436	0.000425417	0.000624436	0.999208
3801.89	30	0.0205054	0.0567573	0.0131578	0.0132636	3.20179e-05	2.73972e-16	0.0197341	0.0570064	0.0131999	0.0125692	2.42591e-05	0.000219064	0.979984
4466.84	28	0.0228555	0.0883892	0.0158708	0.0129763	7.34924e-05	2.89238e-16	0.0207214	0.085403	0.0155394	0.0112852	6.74745e-05	0.00036972	1.02039
5688.53	27	0.0360471	0.181058	0.0153373	0.0285953	0.000672338	2.51964e-16	0.0319854	0.146462	0.0164414	0.022901	0.000589719	0.000844507	0.979592
6683.44	31	0.108148	1.62668	0.0952134	0.0458627	5.55753e-05	3.0048e-16	0.106937	1.59975	0.09491	0.0443672	4.7174e-05	0.000386668	0.979592
7244.36	19	0.0262648	0.0868082	0.016249	0.0169184	0.000113866	2.72918e-16	0.0241947	0.0967744	0.0168262	0.0147241	8.20574e-05	0.00067419	0.999592
8511.38	23	0.0172113	0.113023	0.011438	0.00730307	0.000395522	2.92992e-16	0.0144368	0.0825514	0.00857165	0.00932356	5.00998e-05	0.000472629	0.9996
8511.38	39	0.0494553	0.33455	0.0341951	0.0311169	8.03054e-05	2.93755e-16	0.042562	0.276691	0.0315649	0.0246228	1.33438e-05	0.000471726	0.9996
