FocalLength	QR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	IAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost
148	0.0520387	0.0331683	0.0325762	0.000382212	0.0558873	0.0344141	0.0396328	2.17853e-05
149	0.0487242	0.0308483	0.030331	0.00035618	0.0523261	0.0339559	0.0357553	2.1388e-05
150	0.0605769	0.0388775	0.0372442	0.000547558	0.0629725	0.0400016	0.0433407	2.31486e-05
151	0.0543014	0.0336744	0.0331138	0.000705402	0.0600283	0.037982	0.0416644	2.37758e-05
152	0.053569	0.0338662	0.0331827	0.000544729	0.0545915	0.0344903	0.0377513	2.06211e-05
153	0.0475566	0.0304102	0.029372	0.000345306	0.0480007	0.0307249	0.0329151	1.99931e-05
154	0.0547988	0.0333957	0.0349402	0.000472659	0.0575472	0.0362228	0.039915	2.05016e-05
155	0.0443655	0.027481	0.0286887	0.000266172	0.0475076	0.0298775	0.0325144	1.88326e-05
156	0.0482267	0.0304374	0.0297125	0.000437958	0.0498504	0.0321954	0.034204	1.9614e-05
157	0.0547237	0.0348101	0.0338362	0.000403287	0.0588784	0.0382648	0.0400409	2.15549e-05
158	0.0543197	0.0341102	0.0338096	0.000475792	0.0547002	0.0343914	0.037479	1.97433e-05
159	0.0506516	0.0304081	0.0326589	0.000506306	0.0525161	0.0308879	0.038175	1.98869e-05
160	0.0502376	0.0315036	0.0323997	0.000362758	0.0534662	0.0337169	0.0377542	1.89244e-05
161	0.0461189	0.0298541	0.0295021	0.000193794	0.0485504	0.0310644	0.0336546	1.80073e-05
162	0.0522879	0.0332969	0.0313797	0.000560913	0.0544399	0.0353929	0.036516	1.70639e-05
163	0.0543406	0.0345073	0.0329401	0.000526733	0.0552897	0.035518	0.0379252	1.73808e-05
164	0.0585423	0.0355805	0.0370627	0.000674411	0.0605484	0.0386451	0.0420789	1.79928e-05
165	0.0408422	0.0258104	0.0263101	0.000165027	0.0419423	0.027012	0.0286533	1.58553e-05
166	0.0495499	0.0304664	0.0310321	0.000451282	0.0523021	0.0332234	0.0360296	1.97214e-05
167	0.0414873	0.0255803	0.0267334	0.000235959	0.0414009	0.0263574	0.0288186	1.5854e-05
168	0.0486543	0.0306738	0.0306389	0.000306624	0.048828	0.0305133	0.0342707	2.6379e-05
169	0.0459731	0.0285745	0.0286935	0.000510062	0.0483137	0.0306392	0.0332471	1.53544e-05
170	0.0507264	0.0326519	0.0320203	0.000230061	0.0518229	0.0340115	0.0343379	1.6948e-05
171	0.0568329	0.0355653	0.0350255	0.000712908	0.0607411	0.0390055	0.041771	1.76745e-05
172	0.052713	0.0320644	0.0349222	0.000301775	0.0571818	0.0344324	0.0414837	1.75336e-05
173	0.0499628	0.0315816	0.0321356	0.00031131	0.0521751	0.0328001	0.0365905	1.8094e-05
174	0.0408686	0.0265547	0.0250253	0.000229231	0.044584	0.0280256	0.0309835	1.68066e-05
175	0.0402978	0.0257467	0.025325	0.000152353	0.0439656	0.028091	0.0301656	1.6104e-05
176	0.0443134	0.0285392	0.0273564	0.00043875	0.0461806	0.0299259	0.0319055	1.52481e-05
177	0.0456845	0.0286741	0.0282918	0.000413198	0.0470397	0.0298176	0.0325914	1.6471e-05
178	0.0558641	0.0359291	0.0334374	0.000780644	0.0557382	0.0365698	0.0376143	1.53351e-05
179	0.0361133	0.0223806	0.0228395	0.000254248	0.0367854	0.0227242	0.0260578	1.52242e-05
180	0.0459395	0.0288306	0.0287539	0.000428308	0.0457436	0.0297015	0.0309939	1.47423e-05
181	0.0427701	0.0259419	0.0278816	0.00023676	0.0457326	0.0286702	0.0319638	1.55427e-05
182	0.0403132	0.0247523	0.0255067	0.000299074	0.0427647	0.0264677	0.030118	1.44975e-05
183	0.0490406	0.0305876	0.0313407	0.000386889	0.0506331	0.0318557	0.0353991	1.69238e-05
184	0.0419293	0.025316	0.0267708	0.000525962	0.0434573	0.027611	0.0298144	1.51282e-05
185	0.0484745	0.0297825	0.031094	0.00039895	0.049779	0.030761	0.0351771	1.53407e-05
186	0.0432223	0.0274036	0.0266393	0.00033147	0.0448237	0.0290285	0.0307169	3.54903e-05
187	0.037804	0.0242356	0.0232391	0.000218683	0.0393108	0.0257254	0.0263335	1.45117e-05
188	0.045295	0.0281859	0.0288601	0.000266652	0.0461091	0.0293828	0.0322181	1.56306e-05
189	0.0474554	0.0306526	0.0300352	0.000212633	0.0512331	0.0330767	0.0349069	1.40866e-05
190	0.0498215	0.0306178	0.0324422	0.000293146	0.052526	0.033166	0.0365714	1.66792e-05
191	0.0454908	0.0295279	0.0286982	0.000219635	0.0467742	0.0305275	0.0314985	1.41419e-05
192	0.0434371	0.0267566	0.0265952	0.000481486	0.0442423	0.0286943	0.0299202	1.44989e-05
193	0.0448598	0.0274836	0.0292361	0.000267363	0.0474853	0.0297108	0.0332297	1.45816e-05
194	0.0446785	0.0286873	0.0277822	0.000295604	0.0449666	0.0290434	0.0303825	1.67681e-05
195	0.0518621	0.0325278	0.0325975	0.000475455	0.0531008	0.0337107	0.0366285	1.57118e-05
196	0.0365915	0.0227933	0.0232962	0.000188154	0.0388894	0.0246097	0.0269632	1.36744e-05
197	0.0409055	0.0266457	0.0256186	0.000152692	0.0419878	0.0279097	0.027753	1.31204e-05
198	0.0471333	0.0294956	0.0304509	0.000221002	0.0467049	0.02946	0.0321091	1.66628e-05
199	0.0480359	0.0312326	0.0294649	0.000317958	0.0484017	0.0325848	0.0316397	1.54298e-05
200	0.0551129	0.0348679	0.0351815	0.000657865	0.0549668	0.035239	0.0375	1.48816e-05
201	0.0558165	0.0365835	0.0332473	0.000844717	0.0544879	0.0356607	0.0373238	1.55284e-05
202	0.0415478	0.0263614	0.0262229	0.000299268	0.0436064	0.0272495	0.0304179	1.50521e-05
203	0.0448548	0.0286205	0.0281134	0.000227044	0.0466567	0.0296488	0.0319056	1.59883e-05
204	0.0511923	0.031578	0.0326574	0.000397424	0.0535025	0.0336168	0.0372048	1.79944e-05
205	0.0429248	0.0280279	0.0262725	0.000242164	0.0444896	0.0298324	0.0290045	1.46039e-05
206	0.0527985	0.0337582	0.0338398	0.000235573	0.0536671	0.0348197	0.0360717	1.62147e-05
207	0.0497731	0.0316682	0.0316183	0.000454161	0.0509473	0.0322826	0.0346376	1.36173e-05
208	0.053296	0.033345	0.0331228	0.00060882	0.0534743	0.0346734	0.0364051	1.43796e-05
209	0.0478562	0.0308875	0.0298864	0.000284921	0.047717	0.0321429	0.0313231	1.41607e-05
210	0.0472413	0.0298999	0.030332	0.000348038	0.0486069	0.0310681	0.0338507	1.4397e-05
211	0.0428843	0.0267905	0.0263184	0.00040352	0.0429324	0.0275823	0.0293199	1.46935e-05
212	0.0397704	0.0245083	0.0257651	0.000189294	0.0408658	0.0257119	0.0283919	1.43065e-05
213	0.0420594	0.0267448	0.0273643	0.000219742	0.0440948	0.0277802	0.0310376	1.37684e-05
214	0.0411576	0.0258556	0.0261622	0.000201589	0.0418663	0.0264844	0.0289712	1.51183e-05
215	0.044974	0.0276009	0.0292552	0.000246245	0.0459994	0.0286768	0.0319765	1.56046e-05
216	0.0476436	0.0303168	0.0291084	0.000411273	0.0485328	0.0316638	0.0325613	1.41885e-05
217	0.0381699	0.025012	0.0243743	0.000121607	0.038844	0.0251574	0.0263858	1.35532e-05
218	0.0443872	0.0284917	0.0276158	0.000303092	0.0469255	0.0300751	0.0322457	1.48907e-05
219	0.052398	0.0328976	0.0330732	0.000452653	0.0511821	0.0335658	0.0341093	1.52507e-05
220	0.0447471	0.0263971	0.0290101	0.000392803	0.0440276	0.0275602	0.0305144	1.39127e-05
221	0.0439758	0.0283017	0.0270403	0.000285637	0.0444416	0.0291574	0.0296763	1.53632e-05
222	0.0571624	0.0343841	0.0379037	0.000582147	0.057854	0.0356902	0.0405531	1.49464e-05
223	0.0512813	0.0317105	0.0327615	0.000420224	0.0520265	0.0339156	0.0349537	1.45796e-05
224	0.0369641	0.0229551	0.0229033	0.000261027	0.0377131	0.0239979	0.0260532	1.25568e-05
225	0.0538727	0.0345722	0.0336154	0.000438603	0.0560464	0.0371081	0.037573	1.58673e-05
226	0.0402316	0.0257727	0.0251277	0.000218457	0.0399097	0.0259371	0.0270886	1.28145e-05
227	0.055174	0.0336549	0.0370189	0.000295594	0.0552367	0.0336521	0.0393041	1.544e-05
228	0.0537879	0.0348105	0.0333964	0.000391249	0.0546934	0.0359119	0.0370186	1.4688e-05
229	0.0395391	0.0242402	0.0251514	0.000257589	0.0398525	0.0249616	0.0280159	1.38468e-05
230	0.0539122	0.0353584	0.0340617	0.000286319	0.0533768	0.0361362	0.0350441	1.54415e-05
231	0.0509686	0.0314367	0.0325349	0.0006136	0.0497369	0.0326492	0.0331303	1.41518e-05
232	0.047186	0.0294886	0.029748	0.000400369	0.0469879	0.0300244	0.0324519	1.54603e-05
233	0.0354958	0.0226332	0.0222532	0.000156122	0.0366843	0.0237543	0.0247076	1.31089e-05
234	0.0498129	0.0313682	0.0311659	0.000334579	0.0483464	0.0324097	0.0312993	1.44798e-05
235	0.0545235	0.0330623	0.0356972	0.000763387	0.0546772	0.0340558	0.0385229	1.714e-05
236	0.0484723	0.0308957	0.0303081	0.000473336	0.0476546	0.0315617	0.0314551	1.71308e-05
237	0.05422	0.0345423	0.033834	0.000407095	0.0539991	0.035586	0.0359464	1.62287e-05
238	0.0397614	0.0250468	0.0252669	0.000196342	0.0390265	0.0253727	0.0262645	1.37974e-05
239	0.0418571	0.0264972	0.0262591	0.000324974	0.0416028	0.0270706	0.0280652	1.29588e-05
240	0.0436782	0.0274502	0.0278913	0.000245924	0.0448629	0.0284941	0.0308173	1.30237e-05
241	0.0687347	0.0421741	0.0444434	0.00185318	0.0586996	0.040413	0.0371098	2.04451e-05
242	0.0498459	0.0324848	0.0309073	0.000230167	0.0514805	0.0347347	0.0332454	1.59993e-05
243	0.0421982	0.0265846	0.0271872	0.000180225	0.0429114	0.0278227	0.0288162	1.58204e-05
244	0.054836	0.0362565	0.0335501	0.000410002	0.0536794	0.0369318	0.034406	1.41838e-05
245	0.0449076	0.0287274	0.0285183	0.00022486	0.0463613	0.0294323	0.0319685	1.38097e-05
246	0.0509361	0.0299742	0.0349603	0.00026831	0.0528325	0.031363	0.0385906	1.48222e-05
247	0.0466613	0.0290328	0.0299891	0.000200907	0.0482059	0.0306791	0.0332555	1.68826e-05
248	0.0500556	0.0316157	0.032727	0.000177012	0.0552931	0.0360475	0.0375993	1.51481e-05
249	0.0352062	0.021982	0.0225938	0.000167256	0.0342944	0.022036	0.0232976	1.32221e-05
250	0.0513835	0.0312624	0.0337726	0.000364785	0.050915	0.0323691	0.0350468	1.52499e-05
251	0.0552583	0.0353512	0.0347246	0.000351535	0.0550468	0.0367319	0.0360548	1.78554e-05
252	0.0541376	0.0328643	0.0348132	0.000546699	0.0528259	0.0349013	0.0349104	1.77903e-05
253	0.0568356	0.034208	0.036966	0.000436922	0.0527015	0.0335859	0.0357542	1.67059e-05
254	0.0534516	0.0322799	0.0350857	0.000385874	0.0525049	0.0340481	0.0352376	1.64031e-05
