TranslationRange	QR_Kcost	maxQR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	QR_RRtcost	IAC_Kcost	maxIAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost	IAC_RRtcost	Rank3Rate
208.93	0.00494663	0.00800461	0.00156341	0.00145616	9.35697e-07	2.84293e-16	0.00492911	0.0113728	0.00161415	0.00152771	5.09137e-07	4.62632e-05	0.96
226.464	0.0054776	0.00875903	0.00175555	0.00161117	1.11895e-06	2.85983e-16	0.00543703	0.0122889	0.0017883	0.00168247	5.81532e-07	5.02423e-05	0.98
245.471	0.00500889	0.0091265	0.00157031	0.00148855	9.5606e-07	2.83845e-16	0.00489356	0.0112161	0.00157608	0.00152089	5.22197e-07	4.34816e-05	0.94
266.073	0.00529095	0.0118667	0.00168412	0.00157161	1.03397e-06	2.84257e-16	0.00522411	0.0167433	0.00171093	0.00161702	5.36099e-07	4.51821e-05	0.92
288.403	0.00538346	0.0141448	0.00171881	0.00159801	1.03118e-06	2.87249e-16	0.00531191	0.0179672	0.00174469	0.00164345	5.53369e-07	4.72509e-05	0.98
312.608	0.00516551	0.0103955	0.00165482	0.00152455	9.44884e-07	2.79204e-16	0.0051592	0.0153955	0.00169435	0.00158908	5.5073e-07	4.33315e-05	0.98
338.844	0.00525376	0.0101612	0.00168383	0.00152759	1.04731e-06	2.82373e-16	0.00513974	0.0137954	0.00169791	0.00157022	5.31037e-07	4.50842e-05	0.98
367.282	0.00500616	0.00822466	0.00158519	0.00147787	9.83704e-07	2.83684e-16	0.00498653	0.0120867	0.00163241	0.00153434	5.31454e-07	4.68192e-05	0.94
398.107	0.0057151	0.00879092	0.0018482	0.00166645	1.15016e-06	2.874e-16	0.00563238	0.0119598	0.00186197	0.00172383	6.04873e-07	5.11655e-05	0.92
431.519	0.00518529	0.00672794	0.00165665	0.00151126	9.9943e-07	2.82961e-16	0.00511829	0.0092021	0.00168591	0.00157733	5.47645e-07	4.74381e-05	0.98
467.735	0.00540391	0.00923897	0.00172825	0.00157617	1.13455e-06	2.8555e-16	0.00535801	0.0134117	0.00177571	0.00163537	5.62314e-07	5.07038e-05	0.96
506.991	0.00538133	0.0112328	0.00172187	0.00158216	1.06746e-06	2.81853e-16	0.00526605	0.0161251	0.00173246	0.00161316	5.62212e-07	4.68516e-05	0.94
549.541	0.00507058	0.0110261	0.00162467	0.00146322	1.09374e-06	2.84208e-16	0.00499752	0.0145273	0.00163297	0.00154005	5.38509e-07	5.12411e-05	0.94
595.662	0.0053327	0.00852778	0.00169993	0.00157035	1.11292e-06	2.86773e-16	0.00526153	0.012463	0.00173093	0.0016233	5.47204e-07	4.98141e-05	1
645.654	0.00544735	0.0121675	0.00174587	0.00160091	1.08758e-06	2.81644e-16	0.00541181	0.0152577	0.00180108	0.00164475	5.64778e-07	4.96246e-05	0.96
699.842	0.00564596	0.0104851	0.00180821	0.00165771	1.25841e-06	2.83549e-16	0.00555689	0.0144569	0.00183595	0.00172525	5.86131e-07	5.23503e-05	0.92
758.578	nan	0.0102345	-nan	-nan	-nan	nan	1503.39	1.39864e+06	664.52	9.56442	1.31253e+08	-nan	0.94
822.243	0.00513183	0.00950597	0.00163881	0.00149646	1.03021e-06	2.81265e-16	0.00514184	0.0121819	0.00169999	0.00158119	5.39765e-07	4.82295e-05	0.98
891.251	0.00583254	0.0473143	0.00180606	0.00173252	3.58875e-06	2.83573e-16	0.00583816	0.0744017	0.00186076	0.00180674	3.19694e-06	5.83699e-05	0.96
966.051	0.00510054	0.010003	0.00162348	0.0015017	9.78366e-07	2.85362e-16	0.00513682	0.0125294	0.00166115	0.0015904	6.14984e-07	4.85517e-05	1
1047.13	0.00494281	0.00754611	0.00156242	0.00145735	9.27378e-07	2.83437e-16	0.0048834	0.00976789	0.00159932	0.00150621	5.16586e-07	4.4809e-05	0.98
1135.01	0.00542614	0.0158502	0.00173444	0.00157805	1.51845e-06	2.82117e-16	0.00537744	0.0209064	0.00174797	0.00164251	1.1764e-06	4.65774e-05	0.96
1230.27	0.00528342	0.0074349	0.00169388	0.00153812	1.02268e-06	2.84735e-16	0.00549192	0.0197648	0.0017748	0.00169301	1.02198e-06	5.1039e-05	0.96
1333.52	0.00506962	0.0100888	0.00163274	0.00146276	9.55371e-07	2.82128e-16	0.00499429	0.012168	0.00164434	0.00151301	5.28218e-07	4.23698e-05	1
1445.44	0.00483625	0.00954994	0.00151915	0.00142791	9.30684e-07	2.83977e-16	0.00481242	0.0135321	0.00155015	0.00150571	4.99174e-07	4.5016e-05	0.98
1566.75	0.00533378	0.012664	0.0017134	0.00154633	1.11635e-06	2.84141e-16	0.00593633	0.058053	0.00187292	0.0018389	3.22248e-06	6.33018e-05	0.92
1698.24	0.00613275	0.010193	0.00199942	0.00177472	1.35421e-06	2.82216e-16	0.00605929	0.0136618	0.00202674	0.00185666	6.34756e-07	5.40539e-05	0.96
1840.77	0.00518303	0.00889907	0.00164336	0.00152125	1.07646e-06	2.82352e-16	0.0050791	0.0127137	0.00166639	0.00156265	5.39118e-07	4.91109e-05	0.94
1995.26	0.00485427	0.00853705	0.00153319	0.00142998	9.03468e-07	2.82706e-16	0.00618411	0.0823234	0.00184949	0.00195795	9.23431e-06	6.67368e-05	0.94
2162.72	0.00529565	0.00878648	0.00167526	0.00156284	1.12279e-06	2.871e-16	0.00524572	0.0108398	0.00170607	0.00163582	5.68665e-07	4.97337e-05	0.96
2344.23	0.00533755	0.010842	0.00169974	0.00157857	1.06098e-06	2.82579e-16	0.00526463	0.0131909	0.00173065	0.00161968	5.54553e-07	4.78586e-05	0.98
2540.97	0.0048746	0.00902687	0.00153937	0.00144523	9.09954e-07	2.81898e-16	0.00478551	0.0117599	0.00155776	0.00148819	4.94485e-07	4.3868e-05	0.98
2754.23	0.00486935	0.00764108	0.00153021	0.00144611	9.16067e-07	2.8534e-16	0.00491615	0.0107728	0.00158917	0.0015395	5.17947e-07	4.43926e-05	1
2985.38	0.00501722	0.00760573	0.00158632	0.00149129	9.18405e-07	2.83772e-16	0.00529215	0.0392407	0.0016491	0.00164779	1.90908e-06	5.08045e-05	0.94
3235.94	0.00540951	0.0108525	0.00171605	0.00161589	1.11327e-06	2.87245e-16	0.00526004	0.0134779	0.00173464	0.00162178	5.39977e-07	4.70997e-05	0.94
3507.52	0.0100101	0.216695	0.0032078	0.00288538	4.67191e-05	2.80486e-16	0.0107087	0.302972	0.00336751	0.00321345	6.84909e-05	9.36681e-05	1
3801.89	0.00491768	0.0144597	0.0015662	0.00142636	1.00757e-06	2.84203e-16	0.00486916	0.0198413	0.00159626	0.0014979	5.04378e-07	4.61264e-05	1
4120.98	0.00539399	0.00974101	0.00170049	0.00160957	1.11378e-06	2.83829e-16	0.00533804	0.0125892	0.00174525	0.00165049	5.77362e-07	4.63117e-05	0.94
4466.84	0.00541707	0.0113727	0.00174648	0.00157695	1.10431e-06	2.84561e-16	0.00535767	0.0142333	0.00179637	0.0016083	5.51425e-07	4.84941e-05	0.98
4841.72	0.00536313	0.0274502	0.00170828	0.00158914	1.27156e-06	2.83945e-16	0.00795394	0.172434	0.00227755	0.00248497	4.47795e-05	9.846e-05	0.9
5248.07	0.00517384	0.00752914	0.00165051	0.00150003	1.07118e-06	2.84304e-16	0.00509621	0.011168	0.00167591	0.0015584	5.48357e-07	4.84857e-05	0.98
5688.53	0.0049013	0.0115605	0.0015493	0.00144338	9.34e-07	2.84222e-16	0.00566014	0.0485322	0.00175699	0.00177397	4.0289e-06	5.69027e-05	0.96
6165.95	0.00673758	0.0782273	0.00208924	0.00197958	9.69116e-06	2.8479e-16	0.0259205	1.41241	0.00659378	0.0078095	0.00215875	0.000416511	0.96
6683.44	0.0049171	0.00858654	0.00155726	0.00145387	8.97836e-07	2.80179e-16	0.00490132	0.0108202	0.00160026	0.00150423	5.2291e-07	4.33465e-05	0.96
7244.36	0.0317166	1.47642	0.00948766	0.00930458	0.00188452	2.84616e-16	0.0777823	5.15597	0.0189395	0.0275997	0.015588	0.0013416	0.94
7852.36	0.00527424	0.0116329	0.00166961	0.00154879	1.13943e-06	2.8326e-16	0.00549542	0.0599822	0.00174604	0.0016933	2.33413e-06	5.45274e-05	0.92
8511.38	0.0052529	0.00948362	0.00168397	0.00153177	1.0461e-06	2.85181e-16	0.00553991	0.0215552	0.00177162	0.00170219	1.27389e-06	5.30615e-05	0.96
9225.71	0.00601419	0.0259991	0.00189373	0.00176015	2.74332e-06	2.83083e-16	0.00971555	0.260567	0.00267185	0.00315787	8.28812e-05	0.000128554	0.96
