FocalLength	QR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	IAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost
189	0.0439033	0.0223482	0.0308678	0.000897216	0.0184801	0.0115225	0.0133482	4.91931e-07
190	0.131037	0.0854312	0.0523722	0.0557562	0.0452393	0.0364651	0.0222167	1.12329e-06
191	0.145058	0.111784	0.041508	0.0560981	0.0339413	0.0253171	0.0203865	2.68802e-07
192	0.0290412	0.0199296	0.0163676	6.48684e-05	0.0213463	0.0152707	0.0130567	1.32813e-07
193	0.0823577	0.0594469	0.043069	0.00385412	0.0323548	0.0206292	0.0211994	1.76503e-06
194	0.0814767	0.0653187	0.0317454	0.000961311	0.0265608	0.0226284	0.0112221	2.42471e-07
195	0.0561057	0.0286014	0.0430044	0.000795877	0.0258494	0.0147981	0.0199656	1.40889e-06
196	0.0514135	0.0361181	0.0304117	0.000239269	0.0288242	0.020556	0.0176502	2.4382e-07
197	0.102292	0.0427561	0.0709009	0.0187834	0.0329783	0.0200025	0.0229719	4.53535e-07
198	0.0381521	0.0293761	0.0194351	0.000142852	0.02459	0.0192684	0.0139703	1.2165e-07
199	0.0877873	0.0606988	0.0436052	0.00392037	0.0316051	0.0255568	0.0147985	2.57694e-07
200	0.0685534	0.0402388	0.0489272	0.00163927	0.0228785	0.014603	0.0154469	1.72418e-07
201	0.116371	0.0794451	0.0696205	0.00569789	0.0295158	0.0200381	0.0205935	1.63455e-07
202	0.151149	0.116592	0.072955	0.017557	0.0388418	0.0314394	0.0194096	3.19324e-07
203	0.0835369	0.0496841	0.031673	0.0140084	0.0253439	0.019286	0.0148015	4.49949e-07
204	0.052355	0.0368179	0.0243823	0.0020772	0.0297817	0.0212797	0.0184042	3.86846e-07
205	0.0389983	0.0291064	0.0188471	0.000226767	0.0325462	0.0263267	0.0177827	1.47433e-07
206	0.0522314	0.0358634	0.0313443	0.000627103	0.0390821	0.0292185	0.0221204	1.82193e-07
207	0.0594916	0.0377015	0.0352372	0.000955951	0.038371	0.0261332	0.0254152	6.23037e-07
208	0.0724479	0.0376506	0.0536404	0.00208828	0.0351776	0.0279775	0.0188647	3.10127e-07
209	0.0640778	0.0395652	0.0432307	0.000377198	0.0388752	0.0266884	0.0261851	3.29152e-07
210	0.218546	0.157468	0.135107	0.00483232	0.0332707	0.0228282	0.0214725	2.50296e-07
211	0.0632999	0.0506246	0.0249162	0.000867893	0.0423407	0.0335009	0.0208709	7.00539e-07
213	0.089868	0.0622845	0.0513994	0.00115783	0.0358724	0.0242328	0.0241412	2.02093e-07
214	0.0385446	0.0282444	0.0207646	6.86408e-05	0.034575	0.0283844	0.0174142	2.05661e-07
218	0.0675074	0.0428956	0.0402576	0.00167673	0.0449065	0.0322169	0.0282408	3.44695e-07
219	0.0795005	0.0669333	0.0289187	0.0010719	0.0542857	0.0456098	0.0240358	3.3186e-07
221	0.0767157	0.0485954	0.0449225	0.00170701	0.0417775	0.0343436	0.0196553	4.57221e-07
222	0.0993054	0.0685032	0.0592541	0.000953454	0.0608015	0.0494783	0.0291441	3.1274e-07
223	0.0566781	0.0347045	0.0409332	0.000140675	0.0383752	0.0298669	0.0220444	1.18737e-07
229	0.123359	0.0762445	0.0751013	0.00598029	0.0775358	0.0603765	0.0462477	5.96129e-07
230	0.119672	0.072465	0.0711832	0.00369226	0.0521411	0.0396601	0.0305968	2.50594e-07
