FocalLength	QR_Kcost	maxQR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	QR_RRtcost	IAC_Kcost	maxIAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost	IAC_RRtcost
103	0.00894609	0.265631	0.00550693	0.00580979	4.22422e-05	2.76566e-16	0.00876961	0.225724	0.00598381	0.00548755	1.56692e-05	5.28692e-05
104	0.00863557	0.187146	0.00539496	0.00558157	9.63479e-06	2.84306e-16	0.00851889	0.183394	0.00556424	0.00554027	9.2348e-06	4.35527e-05
105	0.0086253	0.353931	0.00519807	0.00569402	3.12258e-05	2.76949e-16	0.00868892	0.360666	0.00544452	0.00586163	2.1305e-05	3.96618e-05
106	0.00763268	0.108962	0.00465666	0.00506434	7.53606e-06	2.79873e-16	0.00742708	0.111902	0.00479416	0.00487813	3.51249e-06	3.93336e-05
107	0.00810336	0.0716531	0.00491554	0.00540466	1.2105e-05	2.77286e-16	0.00782683	0.089318	0.00494096	0.00531471	3.52791e-06	4.25937e-05
108	0.00800146	0.221219	0.00536432	0.00481268	9.91044e-06	2.8016e-16	0.00759543	0.154776	0.00536032	0.00455234	3.07927e-06	3.72959e-05
109	0.0107299	0.446537	0.00672663	0.00665839	0.000101346	2.8677e-16	0.0107234	0.599053	0.00666633	0.00705925	1.42726e-05	6.1393e-05
110	0.00881527	0.179383	0.00528452	0.0059668	7.19324e-06	2.83245e-16	0.00899667	0.268625	0.00543942	0.00624489	3.53787e-06	4.63202e-05
111	0.00817125	0.138813	0.0050413	0.00532609	2.38135e-05	2.79205e-16	0.00779244	0.165032	0.00481333	0.00529987	1.07246e-05	3.71211e-05
112	0.00818646	0.130953	0.00507265	0.00542425	1.37283e-05	2.84721e-16	0.00811711	0.128854	0.00528118	0.0053411	9.54511e-06	3.66759e-05
113	0.0098655	0.172143	0.00628522	0.00623546	5.97533e-05	2.78931e-16	0.0302912	6.96889	0.0184699	0.0076281	0.0984932	0.000306545
114	0.0104824	0.199936	0.00656241	0.00705314	1.30635e-05	2.82674e-16	0.018222	2.68081	0.013621	0.0107057	0.000184596	0.000131329
115	0.0113221	0.379069	0.00655122	0.00786843	2.69537e-05	2.8296e-16	0.0112995	0.379554	0.00689036	0.00794928	5.02241e-06	4.82035e-05
116	0.00753751	0.0623348	0.00492711	0.0047171	6.31338e-06	2.75602e-16	0.00735087	0.0776625	0.00496292	0.00465958	1.57523e-06	3.80872e-05
117	0.674956	212.322	0.363133	0.564857	0.956278	2.79235e-16	136.004	43382.5	135.342	0.335428	57074.6	0.00771522
118	0.00933116	0.124676	0.00591494	0.00606476	1.18581e-05	2.816e-16	0.00912413	0.124033	0.00596171	0.00609976	3.25114e-06	3.98724e-05
119	0.0088251	0.12727	0.00541849	0.00592385	1.29175e-05	2.9143e-16	0.00845706	0.122818	0.00534079	0.005798	4.8893e-06	3.85815e-05
120	0.009251	0.133112	0.00592817	0.00569999	1.80897e-05	2.85097e-16	0.00919245	0.122953	0.00614553	0.00586918	1.7023e-05	4.52111e-05
121	0.010085	0.197736	0.00659302	0.00636422	8.04854e-06	2.65782e-16	0.0102103	0.191684	0.00660107	0.00675143	1.02721e-05	4.21269e-05
122	0.0131283	0.849882	0.00795905	0.00844161	0.000652359	2.69081e-16	0.0111148	0.481354	0.00749239	0.00673571	3.18293e-06	7.15769e-05
123	0.0111095	0.233293	0.00679353	0.00751217	1.83434e-05	2.78528e-16	0.0106608	0.24684	0.00705527	0.00708044	8.43177e-06	4.45425e-05
124	0.00942705	0.115194	0.00580437	0.00616257	1.3726e-05	2.74809e-16	0.00920541	0.0849517	0.00606599	0.00601644	3.26671e-06	4.00836e-05
125	0.00914054	0.136088	0.00557527	0.0060016	2.03412e-05	2.85795e-16	0.00881498	0.129408	0.00583627	0.00570099	1.36017e-06	3.93172e-05
126	0.00930534	0.122882	0.00537255	0.00649714	1.83448e-05	2.68965e-16	0.00906318	0.109358	0.00555078	0.00646079	2.77e-06	4.07259e-05
127	0.00987075	0.0898412	0.00611407	0.00659536	7.07684e-06	2.76795e-16	0.00960446	0.0832518	0.00617488	0.00647942	1.73615e-06	3.74372e-05
