FocalLength	QR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	QR_RRt_cost	IAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost	IAC_RRt_cost	rank3_rate
158	0.113874	0.079563	0.0623107	0.0158861	5.90879e-16	0.0329395	0.0240414	0.0197995	4.075e-06	3.26569e-06	0.96
159	0.134678	0.0801331	0.0806444	0.0251479	5.72382e-16	0.0390104	0.0276827	0.0241816	5.58939e-06	4.70386e-06	0.82
160	0.112116	0.0671911	0.0674239	0.012001	6.23775e-16	0.0270905	0.0185133	0.0173918	4.527e-06	3.8383e-06	0.9
161	0.0684735	0.042591	0.0413542	0.00436625	5.81363e-16	0.0303653	0.0214583	0.019024	3.87014e-06	2.39922e-06	0.92
162	0.0591876	0.0366444	0.0349909	0.00179732	6.20676e-16	0.0314619	0.0216294	0.0199458	4.76467e-06	1.58389e-06	0.92
163	0.0757941	0.0470368	0.0444129	0.00350914	5.8632e-16	0.0325465	0.0229407	0.0200445	5.63746e-06	1.92245e-06	0.88
164	0.0963289	0.0610072	0.0564395	0.00600017	6.00062e-16	0.026426	0.0175617	0.0176039	4.23244e-06	2.39433e-06	0.94
165	0.137132	0.0857789	0.0774684	0.0268356	5.71241e-16	0.0289744	0.0200984	0.0181709	4.91893e-06	4.00408e-06	0.92
166	0.103634	0.0628638	0.0633981	0.0065563	5.73372e-16	0.0427896	0.0304649	0.0262448	6.99187e-06	2.95319e-06	0.94
167	0.221838	0.140111	0.130657	0.106964	5.86236e-16	0.0352831	0.0240352	0.022578	6.342e-06	6.18222e-06	0.9
168	0.300643	0.209287	0.164256	0.276434	5.76602e-16	0.0353445	0.0244154	0.0223903	8.23799e-06	8.32533e-06	0.94
169	0.0893743	0.0526714	0.0564733	0.00820509	5.90487e-16	0.0249822	0.0171164	0.0158601	5.21319e-06	2.36676e-06	0.98
170	1.01412	0.591334	0.549277	11.0793	5.92049e-16	0.0246999	0.01629	0.016484	4.70463e-06	2.02497e-05	0.96
171	0.0713719	0.0444063	0.0418262	0.00293849	5.88458e-16	0.0341331	0.0232179	0.02174	5.9013e-06	1.80361e-06	0.94
172	0.165826	0.0990701	0.0961605	0.0521749	5.60093e-16	0.0315768	0.0212878	0.0204663	6.53598e-06	4.73302e-06	0.98
173	0.0833281	0.0512505	0.0480394	0.00563178	5.82368e-16	0.0285215	0.0195905	0.0181849	5.57369e-06	2.10054e-06	0.96
174	0.203005	0.119216	0.126075	0.0716038	5.80251e-16	0.0316484	0.0213818	0.0206928	4.91446e-06	4.73684e-06	0.94
175	0.474721	0.244684	0.227511	2.96227	6.19838e-16	0.025662	0.0160502	0.0178346	5.0897e-06	1.65282e-05	0.96
176	0.125109	0.0760847	0.0748683	0.014128	5.79456e-16	0.0337105	0.023451	0.0211268	6.68224e-06	3.27682e-06	0.92
177	0.0950769	0.0564486	0.0565343	0.00697449	6.27713e-16	0.0410909	0.0291653	0.0252798	8.35802e-06	2.20738e-06	0.92
178	0.0660562	0.0422581	0.0389975	0.00288254	5.69442e-16	0.0363981	0.0243115	0.0237965	5.47016e-06	1.76518e-06	0.92
179	0.108302	0.0688757	0.0624287	0.00842255	5.70845e-16	0.0507368	0.0360992	0.0308904	9.78647e-06	2.02059e-06	0.9
180	0.0827837	0.045807	0.0533249	0.0100981	5.95441e-16	0.0300292	0.0200452	0.019784	5.97669e-06	2.18776e-06	0.9
181	0.116752	0.0700295	0.0689585	0.0145144	5.97564e-16	0.0338864	0.0228435	0.0220294	7.06223e-06	2.68831e-06	0.92
182	0.169562	0.10198	0.100486	0.0308399	6.15233e-16	0.0404869	0.026587	0.0272184	8.28191e-06	4.88722e-06	0.88
183	0.150947	0.0899168	0.0841879	0.0406107	6.06341e-16	0.0374412	0.0254941	0.0244212	6.90537e-06	4.00433e-06	0.98
184	0.278462	0.167005	0.161131	0.135851	5.87483e-16	0.0358355	0.0239634	0.0237643	6.81505e-06	9.78405e-06	0.9
185	0.725513	0.493589	0.388906	3.06223	6.08835e-16	0.0306739	0.0209986	0.0195721	5.45973e-06	5.34555e-05	0.94
186	0.0762769	0.0486492	0.0437148	0.00233292	6.09363e-16	0.0373611	0.0246397	0.0251414	6.81236e-06	1.47342e-06	0.96
187	0.38954	0.239573	0.220958	1.03113	5.88436e-16	0.0418445	0.0284643	0.0272851	7.73425e-06	1.10562e-05	0.9
188	0.238026	0.157017	0.135136	0.0632215	6.11198e-16	0.0364872	0.0255366	0.0228515	7.72622e-06	7.55248e-06	0.92
189	0.149308	0.0900942	0.0851028	0.0330742	6.11587e-16	0.0380577	0.026139	0.0245195	8.00349e-06	5.26009e-06	0.9
190	0.154598	0.0995912	0.0878734	0.0341201	5.88986e-16	0.0343027	0.023905	0.0215665	7.19119e-06	3.49356e-06	0.98
191	0.157103	0.0804051	0.103505	0.0305241	5.93199e-16	0.0373598	0.025159	0.0242289	7.42227e-06	5.00664e-06	0.9
192	0.195388	0.116017	0.114928	0.122713	5.86178e-16	0.0362255	0.0242393	0.024074	7.98617e-06	4.20312e-06	0.96
193	0.152557	0.0889757	0.0865628	0.0834997	5.86572e-16	0.0421027	0.028955	0.0269252	7.87159e-06	4.56097e-06	0.94
194	0.0603728	0.0363051	0.0370003	0.0014622	6.1786e-16	0.0290749	0.0197336	0.0190323	7.64292e-06	1.51379e-06	0.98
195	0.0988627	0.0601212	0.0616071	0.00575162	5.75188e-16	0.050096	0.0338541	0.0327795	9.01439e-06	2.16395e-06	0.86
196	0.205201	0.113158	0.140185	0.0794365	6.11683e-16	0.0452529	0.0318137	0.0280962	1.06105e-05	4.16511e-06	0.9
197	0.108133	0.0632136	0.0692961	0.00524779	5.936e-16	0.0488236	0.0315719	0.0335528	8.94774e-06	2.22706e-06	0.92
198	0.111598	0.0713574	0.0595479	0.0135064	5.87701e-16	0.0315191	0.0212885	0.0203878	8.05815e-06	2.37662e-06	0.94
199	0.102875	0.0673639	0.0576586	0.00732951	5.92196e-16	0.0436947	0.0308039	0.0269406	9.17482e-06	2.23821e-06	0.9
200	0.0793577	0.0475047	0.0495797	0.00277359	5.87676e-16	0.0446957	0.0306336	0.0286613	7.78563e-06	1.43876e-06	0.92
201	0.218747	0.125028	0.139444	0.0658551	5.97973e-16	0.0510975	0.0359114	0.0319356	1.00401e-05	4.72659e-06	0.88
202	0.136572	0.0829848	0.0821231	0.0343215	5.74715e-16	0.0323905	0.0211107	0.0216941	8.32193e-06	2.72807e-06	0.94
203	0.227922	0.137542	0.117198	0.27278	5.73093e-16	0.0667666	0.0521209	0.0345942	2.49367e-05	5.0032e-06	0.9
204	0.185158	0.112073	0.110857	0.0612621	5.88892e-16	0.043558	0.0299289	0.0280271	8.78114e-06	3.9422e-06	0.9
205	0.686578	0.332108	0.44421	4.24041	5.84378e-16	0.046716	0.0321882	0.0299537	1.17729e-05	1.58909e-05	0.9
206	0.108357	0.0678153	0.0660916	0.00454116	5.85013e-16	0.0520515	0.0361206	0.0327954	1.15855e-05	2.18033e-06	0.84
207	0.285205	0.181079	0.165303	0.0787018	5.85973e-16	0.0467697	0.032583	0.0296536	1.18486e-05	5.86018e-06	0.88
208	0.0879226	0.0579796	0.0524434	0.00160016	6.01271e-16	0.052798	0.0370698	0.0332029	1.04803e-05	1.31359e-06	0.94
209	0.291847	0.176047	0.172249	0.129698	6.09653e-16	0.0568069	0.0392422	0.0357255	1.27122e-05	6.73411e-06	0.9
210	0.318153	0.191714	0.195089	0.361352	6.1879e-16	0.0448258	0.0318141	0.0277082	1.11178e-05	6.83604e-06	0.92
211	0.103911	0.0644359	0.0635896	0.00345629	5.86504e-16	0.0475203	0.0336572	0.0294808	1.25299e-05	1.69693e-06	0.92
212	0.13165	0.0818694	0.0783743	0.0150283	5.95694e-16	0.061465	0.0426649	0.0392205	1.61164e-05	3.62391e-06	0.92
213	0.512076	0.306299	0.258189	1.06507	5.96831e-16	0.0553752	0.0395563	0.0335982	3.04113e-05	3.44829e-05	0.94
214	2.65211	1.61904	1.71604	20.1066	5.97584e-16	0.0463878	0.0322139	0.0293325	8.63105e-06	4.55347e-05	0.92
215	0.115277	0.065406	0.0679164	0.0442478	5.67979e-16	0.0481267	0.033562	0.0301449	1.28429e-05	1.91069e-06	0.92
216	0.360351	0.233853	0.192717	0.254694	5.68946e-16	0.0591936	0.0450091	0.0334551	1.42448e-05	1.16915e-05	0.92
217	0.214648	0.13626	0.123331	0.0343066	6.06727e-16	0.0574201	0.039934	0.0359608	1.49917e-05	4.84853e-06	0.86
218	0.12888	0.0728794	0.0818192	0.0183485	5.71199e-16	0.0475483	0.0335799	0.0291648	1.36773e-05	2.42446e-06	0.88
219	0.174194	0.0998185	0.100859	0.0903549	6.0102e-16	0.0605316	0.0408922	0.0399641	1.45506e-05	3.01021e-06	0.92
220	0.0876504	0.0527898	0.0528344	0.00398274	5.74876e-16	0.0423175	0.0291137	0.027062	1.21101e-05	1.57506e-06	0.9
221	0.132287	0.0770151	0.0792777	0.0178894	6.07907e-16	0.0589478	0.0402928	0.0379601	1.10302e-05	2.33272e-06	0.96
222	0.145935	0.0839817	0.0889301	0.0153454	6.00808e-16	0.0481732	0.031724	0.0322416	1.59041e-05	3.18298e-06	0.9
223	0.338388	0.222708	0.193045	0.283219	5.87887e-16	0.063626	0.0462941	0.0358801	1.60926e-05	6.67484e-06	0.92
224	0.136436	0.0824863	0.0823689	0.0170672	5.92835e-16	0.0414161	0.0288594	0.025912	9.18961e-06	2.59858e-06	0.92
225	0.222056	0.127128	0.142935	0.0749451	5.78685e-16	0.0758561	0.0547812	0.0453451	2.0232e-05	4.38589e-06	0.88
226	0.14418	0.0910356	0.0793164	0.0234982	5.99231e-16	0.0633005	0.0455873	0.0387543	2.10226e-05	3.4905e-06	0.86
227	0.186098	0.102589	0.115505	0.0819697	5.70642e-16	0.0548635	0.0367623	0.0351118	1.53881e-05	4.05463e-06	0.86
228	0.106632	0.0665095	0.0631571	0.00415384	6.14499e-16	0.0583519	0.0405853	0.0371373	2.44465e-05	1.90019e-06	0.86
229	0.183581	0.109647	0.119027	0.0332218	6.06127e-16	0.0588838	0.0415321	0.0363888	1.7231e-05	4.29231e-06	0.86
230	0.132698	0.0822155	0.0806517	0.00614322	5.64779e-16	0.0617927	0.042111	0.0406441	1.56188e-05	2.36631e-06	0.86
231	0.150201	0.0901997	0.0886803	0.0153112	5.80052e-16	0.0640286	0.0438396	0.0414853	1.96767e-05	2.81497e-06	0.88
232	0.120092	0.0733596	0.0685161	0.0167044	5.7479e-16	0.0431192	0.0291817	0.0279385	1.21838e-05	2.13114e-06	0.88
233	0.168833	0.0945116	0.106067	0.0397421	6.05965e-16	0.0589195	0.0415823	0.0367544	1.9531e-05	2.97528e-06	0.88
234	0.128442	0.0754206	0.0807648	0.00943376	5.91526e-16	0.0550438	0.0358638	0.036959	1.38568e-05	2.4245e-06	0.92
235	0.251022	0.14474	0.140097	0.187422	5.81346e-16	0.0682989	0.0475056	0.0429749	2.02415e-05	8.50042e-06	0.92
236	0.149819	0.0906424	0.0915944	0.0209782	6.19126e-16	0.0629474	0.0446668	0.0388392	1.58882e-05	2.50104e-06	0.98
237	0.316125	0.173001	0.202802	0.306261	5.82687e-16	0.0536286	0.039807	0.0306835	2.14543e-05	6.40118e-06	0.86
238	0.282214	0.191881	0.166374	0.0916003	6.02011e-16	0.0577931	0.0378563	0.0391203	1.66187e-05	4.13769e-06	0.94
239	0.112552	0.070027	0.0652541	0.0103404	5.6975e-16	0.0511701	0.0357006	0.0319663	1.53067e-05	1.8522e-06	0.94
